653.59,0,0
653.6,0,0
653.61,0,0
653.62,0,0
653.63,0,0
653.64,0,0
653.65,0,0
653.66,0,0
653.67,0,0
653.68,0,0
653.69,0,0
653.7,0,0
653.71,0,0
653.72,0,0
653.73,0,0
653.74,0,0
653.75,0,0
653.76,0,0
653.77,0,0
653.78,0,0
653.79,0,0
653.8,0,0
653.81,0,0
653.82,0,0
653.83,0,0
653.84,0,0
653.85,0,0
653.86,0,0
653.87,0,0
653.88,0,0
653.89,0,0
653.9,0,0
653.91,0,0
653.92,0,0
653.93,0,0
653.94,0,0
653.95,0,0
653.96,0,0
653.97,0,0
653.98,0,0
653.99,0,0
654,0,0
654.01,0,0
654.02,0,0
654.03,0,0
654.04,0,0
654.05,0,0
654.06,0,0
654.07,0,0
654.08,0,0
654.09,0,0
654.1,0,0
654.11,0,0
654.12,0,0
654.13,0,0
654.14,0,0
654.15,0,0
654.16,0,0
654.17,0,0
654.18,0,0
654.19,0,0
654.2,0,0
654.21,0,0
654.22,0,0
654.23,0,0
654.24,0,0
654.25,0,0
654.26,0,0
654.27,0,0
654.28,0,0
654.29,0,0
654.3,0,0
654.31,0,0
654.32,0,0
654.33,0,0
654.34,0,0
654.35,0,0
654.36,0,0
654.37,0,0
654.38,0,0
654.39,0,0
654.4,0,0
654.41,0,0
654.42,0,0
654.43,0,0
654.44,0,0
654.45,0,0
654.46,0,0
654.47,0,0
654.48,0,0
654.49,0,0
654.5,0,0
654.51,0,0
654.52,0,0
654.53,0,0
654.54,0,0
654.55,0,0
654.56,0,0
654.57,0,0
654.58,0,0
654.59,0,0
654.6,0,0
654.61,0,0
654.62,0,0
654.63,0,0
654.64,0,0
654.65,0,0
654.66,0,0
654.67,0,0
654.68,0,0
654.69,0,0
654.7,0,0
654.71,0,0
654.72,0,0
654.73,0,0
654.74,0,0
654.75,0,0
654.76,0,0
654.77,0,0
654.78,0,0
654.79,0,0
654.8,0,0
654.81,0,0
654.82,0,0
654.83,0,0
654.84,0,0
654.85,0,0
654.86,0,0
654.87,0,0
654.88,0,0
654.89,0,0
654.9,0,0
654.91,0,0
654.92,0,0
654.93,0,0
654.94,0,0
654.95,0,0
654.96,0,0
654.97,0,0
654.98,0,0
654.99,0,0
655,0,0
655.01,0,0
655.02,0,0
655.03,0,0
655.04,0,0
655.05,0,0
655.06,0,0
655.07,0,0
655.08,0,0
655.09,0,0
655.1,0,0
655.11,0,0
655.12,0,0
655.13,0,0
655.14,0,0
655.15,0,0
655.16,0,0
655.17,0,0
655.18,0,0
655.19,0,0
655.2,0,0
655.21,0,0
655.22,0,0
655.23,0,0
655.24,0,0
655.25,0,0
655.26,0,0
655.27,0,0
655.28,0,0
655.29,0,0
655.3,0,0
655.31,0,0
655.32,0,0
655.33,0,0
655.34,0,0
655.35,0,0
655.36,0,0
655.37,0,0
655.38,0,0
655.39,0,0
655.4,0,0
655.41,0,0
655.42,0,0
655.43,1.9,0
655.44,1.9,0
655.45,1.9,0
655.46,1.9,0
655.47,1.9,0
655.48,1.9,0
655.49,1.9,0
655.5,3.9,0
655.51,5.9,0
655.52,5.9,0
655.53,5.9,0
655.54,7.9,0
655.55,10,0
655.56,11.9,0
655.57,15.9,0
